id	map	area	name	y_min	y_max	x_min	x_max	displayMapId	defaultDungeonFloor	parentWorldMapID	newField	newField2	newField3
601	632	4809	TheForgeofSouls	7.033.333	-4.366.667	6.466.667	-1.133.333	-1	0	0	0	0	0
602	658	4813	PitofSaron	8.395.833	-693.75	1256.25	2.333.333	-1	0	492	0	0	0
603	668	4820	HallsofReflection	7.033.333	-5.966.667	6.466.667	-2200	-1	0	0	0	0	0
604	631	4812	IcecrownCitadel	6.366.667	-5.833.333	5.933.333	-2200	-1	0	0	0	0	0
605	648	4737	Kezan	2.129.167	7.770.833	-7731.25	-8631.25	-1	0	751	16	0	0
606	1	616	Hyjal	-9.291.666	-5175	6.195.833	3.364.583	-1	0	0	0	80	82
607	1	4709	SouthernBarrens	1356.25	-6056.25	2.041.667	-4737.5	-1	0	0	0	30	35
609	724	4987	TheRubySanctum	9.020.833	150	3.429.167	2.927.083	-1	0	488	0	0	0
610	0	4815	VashjirKelpForest	5.070.833	2268.75	-4018.75	-5887.5	-1	0	0	0	0	0
611	654	4755	GilneasCity	1.933.333	1043.75	-1306.25	-1900	-1	0	545	0	0	0
613	0	5146	Vashjir	8.754.166	1.808.333	-3.720.833	-8.352.083	-1	0	0	0	80	82
614	0	5145	VashjirDepths	8.233.333	4.158.333	-4906.25	-7.622.917	-1	0	613	0	0	0
615	0	5144	VashjirRuins	6681.25	1831.25	-4756.25	-7.989.583	-1	0	613	0	0	0
626	726	5031	TwinPeaks	9.312.499	-2.833.333	2.266.667	1456.25	-1	0	0	0	0	0
640	646	5042	Deepholm	3.052.083	-2.047.917	2.795.833	-6.041.666	-1	0	751	16	82	83
673	0	5287	TheCapeOfStranglethorn	2.108.333	-1837.5	-12516.67	-15147.92	-1	0	0	0	30	35
677	728	5108	BattleforGilneas	1.933.333	1043.75	-1306.25	-1900	-1	0	0	0	0	0
678	654	4714	Gilneas_terrain1	3.439.583	293.75	-5.333.333	-2631.25	-1	0	0	66	1	12
679	654	4714	Gilneas_terrain2	3.439.583	293.75	-5.333.333	-2631.25	-1	0	0	66	1	12
680	389	2437	Ragefire	0	0	0	0	-1	0	0	0	0	0
681	648	4720	TheLostIsles_terrain1	4.383.333	-131.25	2881.25	-1.291.667	-1	0	751	18	1	12
682	648	4720	TheLostIsles_terrain2	4.383.333	-131.25	2881.25	-1.291.667	-1	0	751	18	1	12
683	1	616	Hyjal_terrain1	-9.291.666	-5175	6.195.833	3.364.583	-1	0	0	2	80	82
684	0	4706	RuinsofGilneas	3.439.583	293.75	-5.333.333	-2631.25	-1	0	0	0	0	0
685	0	5351	RuinsofGilneasCity	1.933.333	1043.75	-1306.25	-1900	-1	0	0	32	0	0
686	209	1176	ZulFarrak	1625	2.416.667	2.052.083	1.129.167	-1	0	161	0	0	0
687	109	1477	TheTempleOfAtalHakkar	0	0	0	0	-1	0	0	0	0	0
688	48	719	BlackfathomDeeps	0	0	0	0	-1	0	0	0	0	0
689	0	5339	StranglethornVale	2.977.083	-3575	-10964.58	-15333.33	-1	0	0	0	25	35
690	34	717	TheStockade	0	0	0	0	-1	0	0	0	0	0
691	90	721	Gnomeregan	0	0	0	0	-1	0	0	0	0	0
692	70	1337	Uldaman	0	0	0	0	-1	0	0	0	0	0
696	409	2717	MoltenCore	0	0	0	0	-1	0	0	0	0	0
697	309	1977	ZulGurub	-693.75	-2.570.833	-11308.33	-12560.42	-1	0	0	0	0	0
699	429	2557	DireMaul	0	0	0	0	-1	0	0	0	0	0
700	0	4922	TwilightHighlands	-2437.5	-7.708.333	-2156.25	-5.670.833	-1	0	0	0	84	85
704	230	1584	BlackrockDepths	0	0	0	0	-1	0	0	0	0	0
708	732	5095	TolBarad	2.010.417	-4.166.667	-5.604.166	-1.904.167	0	0	0	0	84	85
709	732	5389	TolBaradDailyArea	2412.5	575	3.770.833	-8.479.166	0	0	0	0	0	0
710	540	3714	TheShatteredHalls	0	0	0	0	-1	0	0	0	0	0
717	509	3429	RuinsofAhnQiraj	3.035.417	5.229.166	-8.233.333	-9.908.333	-1	0	261	0	0	0
718	249	2159	OnyxiasLair	0	0	0	0	-1	0	0	0	0	0
720	1	5034	Uldum	2.441.667	-3.752.083	-8.029.167	-12158.33	-1	0	0	0	83	84
721	229	1583	BlackrockSpire	0	0	0	0	-1	0	0	0	0	0
722	558	3790	AuchenaiCrypts	0	0	0	0	-1	0	0	0	0	0
723	556	3791	SethekkHalls	0	0	0	0	-1	0	0	0	0	0
724	555	3789	ShadowLabyrinth	0	0	0	0	-1	0	0	0	0	0
725	542	3713	TheBloodFurnace	0	0	0	0	-1	0	0	0	0	0
726	546	3716	TheUnderbog	0	0	0	0	-1	0	0	0	0	0
727	545	3715	TheSteamvault	0	0	0	0	-1	0	0	0	0	0
728	547	3717	TheSlavePens	0	0	0	0	-1	0	0	0	0	0
729	553	3847	TheBotanica	0	0	0	0	-1	0	0	0	0	0
730	554	3849	TheMechanar	0	0	0	0	-1	0	0	0	0	0
731	552	3848	TheArcatraz	0	0	0	0	-1	0	0	0	0	0
732	557	3792	ManaTombs	0	0	0	0	-1	0	0	0	0	0
733	269	2366	CoTTheBlackMorass	7650	6562.5	-1500	-2225	-1	0	0	0	0	0
734	560	2367	CoTHillsbradFoothills	1.854.167	-4.770.833	3.127.083	1.572.917	-1	0	0	0	0	0
736	761	5449	GilneasBattleground2	1.745.833	443.75	1.604.167	7.354.166	-1	0	0	0	0	0
737	730	5416	TheMaelstrom	1556.25	6.25	1.370.833	337.5	-1	0	751	16	0	0
747	755	5396	LostCityofTolvir	-1.004.167	-1975	-10591.67	-11239.58	-1	0	720	2	0	0
748	1	5034	Uldum_terrain1	2.441.667	-3.752.083	-8.029.167	-12158.33	-1	0	0	2	83	84
749	43	718	WailingCaverns	0	0	0	0	-1	0	0	0	0	0
750	349	2100	Maraudon	0	0	0	0	-1	0	0	0	0	0
751	-1	5630	TheMaelstromContinent	0	0	0	0	-1	0	0	8	0	0
752	757	5600	BaradinHold	2.633.333	3.333.333	1.133.333	-600	-1	0	0	0	0	0
753	645	4926	BlackrockCaverns	2100	-500	1.133.333	-600	-1	0	0	0	0	0
754	669	5094	BlackwingDescent	1.033.333	-1.566.667	600	-1.133.333	-1	0	0	0	0	0
755	469	2677	BlackwingLair	6.333.333	-2.766.667	-6.333.333	-8600	-1	0	0	0	0	0
756	36	1581	TheDeadmines	1.966.667	-3.033.333	1.133.333	-2200	-1	0	0	0	0	0
757	670	4950	GrimBatol	1.166.667	-2.233.333	600	-1.666.667	-1	0	0	0	0	0
758	671	5334	TheBastionofTwilight	1.166.667	-2.233.333	600	-1.666.667	-1	0	0	0	0	0
759	644	4945	HallsofOrigination	2.366.667	-1.833.333	600	-2200	-1	0	0	0	0	0
760	129	722	RazorfenDowns	2.766.667	-6.333.333	3.266.667	9.999.999	-1	0	0	0	0	0
761	47	491	RazorfenKraul	2.766.667	9.666.666	2.733.333	1.533.333	-1	0	0	0	0	0
762	189	796	ScarletMonastery	1.508.333	-800	1918.75	379.166	-1	0	0	0	0	0
763	289	2057	Scholomance	6.333.333	-1.166.667	600	-600	-1	0	0	0	0	0
764	33	209	ShadowfangKeep	4500	300	1.133.333	-1.666.667	-1	0	0	0	0	0
765	329	2017	Stratholme	-1.766.667	-5.166.667	4.333.333	2.066.667	-1	0	0	0	0	0
766	531	3428	AhnQiraj	3.033.333	1.233.333	-7.933.333	-9.133.333	-1	2	0	0	0	0
767	643	5004	ThroneofTides	2100	-500	600	-1.133.333	-1	0	0	0	0	0
768	725	5088	TheStonecore	2.766.667	-6.333.333	2200	-6.666.666	-1	0	0	0	0	0
769	657	5035	Skywall	2.366.667	-1.833.333	600	-2200	-1	0	0	0	0	0
770	0	4922	TwilightHighlands_terrain1	-2437.5	-7.708.333	-2156.25	-5.670.833	-1	0	0	2	0	0
772	1	5695	AhnQirajTheFallenKingdom	3.891.667	-1.583.333	-8.033.333	-10733.33	-1	0	0	0	0	0
773	754	5638	ThroneoftheFourWinds	2100	-500	600	-1.133.333	-1	0	720	0	0	0
775	534	3606	CoTMountHyjal	-1525	-4025	6.145.833	4.479.167	-1	0	0	0	0	0
776	565	3923	GruulsLair	0	0	0	0	-1	0	0	0	0	0
779	544	3836	MagtheridonsLair	0	0	0	0	-1	0	0	0	0	0
780	548	3607	CoilfangReservoir	0	0	0	0	-1	0	0	0	0	0
781	568	3805	ZulAman	1.852.083	5.833.333	568.75	-2.770.833	-1	0	463	0	0	0
782	550	3845	TempestKeep	0	0	0	0	-1	0	0	0	0	0
789	580	4075	SunwellPlateau	1206.25	300	2012.5	1.408.333	-1	0	0	260	70	70
793	859	1977	ZulGurub	-612.5	-2.733.333	-11225	-12639.58	-1	0	37	0	0	0
795	861	5733	MoltenFront	9.333.333	-256.25	1.702.083	9.083.333	-1	0	606	0	0	0
796	564	3959	BlackTemple	1150	3.666.667	9.499.999	4.270.833	-1	0	0	4	0	0
797	543	3562	HellfireRamparts	1.935.417	1.277.083	-1.041.667	-1.479.167	-1	0	465	0	0	0
798	585	4131	MagistersTerrace	250	-2.979.167	325	-3.958.333	-1	0	499	0	0	0
799	532	3457	Karazhan	-1.191.667	-2950	-10389.58	-11562.5	-1	0	0	0	0	0
800	720	5723	Firelands	718.75	-8.687.499	425	-6.333.333	-1	0	0	260	0	0
803	951	5786	TheNexusLegendary	0	0	0	0	-1	0	0	0	0	0
806	870	5785	TheJadeForest	1.452.083	-5531.25	3.652.083	-1.002.084	-1	0	0	0	0	0
807	870	5805	ValleyoftheFourWinds	2.679.167	-1.245.834	1.095.833	-1.520.834	-1	0	0	0	0	0
808	860	5736	TheWanderingIsle	4.979.166	2.308.333	1.785.417	6.25	-1	0	0	64	0	0
809	870	5841	KunLaiSummit	4.839.583	-1418.75	5618.75	1.445.833	-1	0	0	0	0	0
810	870	5842	TownlongWastes	7.079.166	1.335.417	4.558.333	729.167	-1	0	0	0	0	0
811	870	5840	ValeofEternalBlossoms	2481.25	-5.208.398	1.947.917	260.416	-1	0	0	0	0	0
813	968	5799	NetherstormArena	2.660.417	3.895.833	2918.75	1.404.167	-1	0	0	0	0	0
816	939	5788	WellofEternity	-4650	-5.902.083	3.766.667	2.933.333	-1	0	161	0	0	0
819	940	5844	HourofTwilight	1.791.667	-1.252.083	5.327.083	3.297.917	-1	0	0	260	0	0
820	938	5789	EndTime	2.260.417	-1.035.417	4.697.917	2500	-1	0	0	4	0	0
823	974	5861	DarkmoonFaireIsland	7268.75	5.410.417	-3.322.917	-4562.5	-1	0	0	0	0	0
824	967	5892	DragonSoul	-8.335.928	-3.940.301	-5.650.928	-2.628.158	-1	0	0	260	0	0
851	999	6040	TheBattleforTheramore	-4.066.667	-5037.5	-3.477.083	-4125	-1	0	0	0	0	0
856	998	6051	ValleyofPower	1.522.917	1.127.083	1925	1.660.417	-1	0	0	0	0	0
857	870	6134	Krasarang	2.947.917	-1.739.584	-110.416	-3.235.416	-1	0	0	0	0	0
858	870	6138	DreadWastes	6.139.583	787.5	1.416.667	-2.152.084	-1	0	0	0	0	0
860	727	6126	STVDiamondMineBG	1.320.833	-929.166	1.495.833	-4.166.016	-1	0	0	0	0	0
862	870	0	Pandaria	8752.86	-6762.44	6679.16	-3664.38	-1	0	0	0	0	0
864	0	6170	Northshire	187.5	-781.25	-8.570.832	-9.216.666	-1	0	30	0	0	0
866	0	6176	ColdridgeValley	979.167	1.458.398	-5962.5	-6606.25	-1	0	27	0	0	0
867	960	5956	EastTemple	-2.154.166	-2918.75	1.197.917	687.5	-1	0	0	0	0	0
871	1001	6052	ScarletHalls	977.083	6.041.602	1.372.917	762.5	-1	0	0	0	0	0
873	870	6006	TheHiddenPass	812.5	-981.25	1.689.583	493.75	-1	0	0	0	0	0
874	1004	6109	ScarletCathedral	2.233.333	-1.166.666	2200	-6.666.602	-1	0	0	0	0	0
875	962	5976	TheGreatWall	3.133.333	1.333.333	1.666.667	466.666	-1	0	0	0	0	0
876	961	5963	StormstoutBrewery	1.664.583	814.583	-458.334	-1025	-1	0	0	0	0	0
877	959	5918	ShadowpanHideout	3362.5	2300	4.210.417	3.502.083	-1	0	0	0	0	0
878	1005	6101	BrewmasterScenario01	-875	-1343.75	2.389.583	2.077.083	-1	0	0	0	0	0
879	1014	6419	KunLaiSummitScenario	2.102.083	1.372.917	4168.75	3.683.333	-1	0	0	0	0	0
880	1024	6209	TheJadeForestScenario	-1.397.916	-2.322.916	2.372.917	1756.25	-1	0	0	0	0	0
881	1035	6215	ValleyOfPowerScenario	1743.75	904.167	2.083.333	1.522.917	-1	0	0	0	0	0
882	1048	6309	BrewmasterScenario03	1.220.833	314.584	-2.564.584	-3168.75	-1	0	0	0	0	0
883	1050	6328	Tyrivess	5.616.666	2.933.333	-252.084	-2.041.666	-1	0	0	0	0	0
884	1051	6340	KunLaiPassScenario	747.917	-222.916	2.216.667	1568.75	-1	0	0	0	0	0
885	994	6182	MogushanPalace	-700	-4100	-3.133.334	-5400	-1	0	0	0	0	0
886	996	6067	TerraceOfEndlessSpring	-2.583.334	-3193.75	-816.666	-1.222.916	-1	0	0	0	0	0
887	1011	6214	SiegeofNiuzaoTemple	5762.5	4.747.916	2.029.167	1.352.083	-1	0	0	4	0	0
